[Params [paramPsi=-187.5839910853123, paramOmega=-62.72667135880164, paramV=4.182335842255432, fitnessScore=155.6890696039488]
, Params [paramPsi=-188.13670509655287, paramOmega=-73.56901564591927, paramV=5.175684565032656, fitnessScore=161.4203008147434]
, Params [paramPsi=-188.13670509655287, paramOmega=-72.53990424051005, paramV=5.175684565032656, fitnessScore=162.21937441874576]
, Params [paramPsi=-178.2825225631117, paramOmega=-54.71, paramV=3.14, fitnessScore=165.34190079352592]
, Params [paramPsi=-187.5839910853123, paramOmega=-68.44090524203654, paramV=5.111914554998622, fitnessScore=171.0764401588179]
, Params [paramPsi=-188.13670509655287, paramOmega=-65.61410923009248, paramV=5.175684565032656, fitnessScore=172.27670215976678]
, Params [paramPsi=-178.2825225631117, paramOmega=-54.71, paramV=3.5475733239203175, fitnessScore=179.62032975513426]
, Params [paramPsi=-187.5839910853123, paramOmega=-62.72667135880164, paramV=5.111914554998622, fitnessScore=179.11786484522807]
, Params [paramPsi=-178.2825225631117, paramOmega=-62.72667135880164, paramV=4.182335842255432, fitnessScore=185.51273271760422]
, Params [paramPsi=-179.02370969500097, paramOmega=-73.56901564591927, paramV=5.175684565032656, fitnessScore=194.1379547174361]
, Params [paramPsi=-180.6934816064153, paramOmega=-66.16584102985243, paramV=5.175684565032656, fitnessScore=199.59404574620862]
, Params [paramPsi=-180.6934816064153, paramOmega=-65.61410923009248, paramV=5.175684565032656, fitnessScore=201.43740197990053]
, Params [paramPsi=-179.02370969500097, paramOmega=-68.44090524203654, paramV=5.111914554998622, fitnessScore=204.3073174639179]
, Params [paramPsi=-178.2825225631117, paramOmega=-54.71, paramV=4.182335842255432, fitnessScore=208.12501746401844]
, Params [paramPsi=-179.02370969500097, paramOmega=-64.05415012613022, paramV=5.111914554998622, fitnessScore=211.11604064150245]
, Params [paramPsi=-180.6934816064153, paramOmega=-60.77054486868447, paramV=5.175684565032656, fitnessScore=216.93772408080775]
, Params [paramPsi=-179.02370969500097, paramOmega=-60.53976003587166, paramV=5.111914554998622, fitnessScore=223.4041811209304]
, Params [paramPsi=-180.6934816064153, paramOmega=-58.464199962303184, paramV=5.175684565032656, fitnessScore=226.93063077765666]
, Params [paramPsi=-180.6934816064153, paramOmega=-56.67490010022732, paramV=5.175684565032656, fitnessScore=237.0472674853274]
, Params [paramPsi=-176.9, paramOmega=-54.71, paramV=3.14, fitnessScore=250.59278882285588]
, Params [paramPsi=-179.02370969500097, paramOmega=-66.04196543224985, paramV=5.175684565032656, fitnessScore=613.1573804645586]
, Params [paramPsi=-179.02370969500097, paramOmega=-60.53976003587166, paramV=5.175684565032656, fitnessScore=1282.5330055318927]
]
